"Title","Date","Href","Location"
"Fierce Females strategy session","Tuesday, February 27 · 10:30am - 2pm GMT","https://www.eventbrite.co.uk/e/fierce-females-strategy-session-tickets-811595452847?aff=ebdssbdestsearch","Portsmouth"
"SEO MASTERY: HOW TO SKYROCKET SITE TRAFFIC","Wednesday, February 21 · 7 - 8am PST","https://www.eventbrite.com/e/seo-mastery-how-to-skyrocket-site-traffic-tickets-844099082077?aff=ebdssbdestsearch","Portsmouth"
"Knowledge Exchange Networking - An Introduction to Knowledge Exchange","Wed, 28 Feb 2024 08:30 - 10:30 GMT","https://www.eventbrite.co.uk/e/knowledge-exchange-networking-an-introduction-to-knowledge-exchange-tickets-761068615717?aff=ebdssbdestsearch","Portsmouth"
"Portsmouth News Business Excellence Awards 2024","Starts on Fri, 23 Feb 2024 18:45 GMT","https://www.eventbrite.co.uk/e/portsmouth-news-business-excellence-awards-2024-tickets-772898589487?aff=ebdssbdestsearch","Portsmouth"
"CCIXR Tour","Thu, 29 Feb 2024 14:00 - 15:00 GMT","https://www.eventbrite.co.uk/e/ccixr-tour-tickets-838793001447?aff=ebdssbdestsearch","Portsmouth"
"The Girls' Network     BE YOU PORTSMOUTH Celebration event","Wed, 6 Mar 2024 16:00 - 17:30 GMT","https://www.eventbrite.co.uk/e/the-girls-network-be-you-portsmouth-celebration-event-tickets-803193993857?aff=ebdssbdestsearch","Portsmouth"
"Networking at by The Beach in Portsmouth","Monday, April 22 · 5:30 - 7:30pm GMT+1","https://www.eventbrite.co.uk/e/networking-at-by-the-beach-in-portsmouth-tickets-810545422177?aff=ebdssbdestsearch","Portsmouth"
"Portsmouth Advanced Endoscopy Symposium 2024","Sun, 12 May 2024 08:00 - Tue, 14 May 2024 19:00 GMT+1","https://www.eventbrite.co.uk/e/portsmouth-advanced-endoscopy-symposium-2024-tickets-784657901907?aff=ebdssbdestsearch","Portsmouth"
"The Inspirational Women of Portsmouth Awards 2024","Fri, 15 Mar 2024 18:00 - Sat, 16 Mar 2024 00:00 GMT","https://www.eventbrite.co.uk/e/the-inspirational-women-of-portsmouth-awards-2024-tickets-776246653637?aff=ebdssbdestsearch","Portsmouth"
"LinkedIn Local Portsmouth #14","Thu, 22 Feb 2024 18:00 - 20:30 GMT","https://www.eventbrite.co.uk/e/linkedin-local-portsmouth-14-tickets-716094817877?aff=ebdssbdestsearch","Portsmouth"
